#Organism group	BioProject	BioSample	Strain	Isolate	Isolate identifiers	Assembly	Run	Location	Lat/Lon	Collection date	Isolation source	Isolation type	Collected by	Host	Create date	AMR genotypes	AST phenotypes	Length	Contigs	N50	Platform	SNP cluster	Min-diff	Scientific name	Computed types	Virulence genotypes	Host disease
Klebsiella pneumoniae	PRJNA176122	SAMN01939166	JHCK	PDT000011670.2	"JHCK","MTE2","SRS399118"	GCA_000316265.2		Argentina	34.0000 S 64.0000 W	1980	cerebrospinal fluid	clinical	Tolmasky	human (infant)	2013-04-05T19:54:00Z	aac(3)-IIe=COMPLETE,aac(6')-Ib=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaOXA-9=COMPLETE,blaSCO-1=COMPLETE,blaSHV-28=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA8=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE		6015282	227	129981				Klebsiella pneumoniae JHCK1			pneumonae
Klebsiella pneumoniae	PRJEB80567	SAMEA117986028		PDT002714899.1	"ERS23979905","G20000905"	GCA_049577305.1	ERR14828623	Colombia		2020-10-04	blood culture	clinical		Homo sapiens	2025-04-14T16:22:35Z	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-12=COMPLETE,blaCTX-M=COMPLETE,blaCTX-M=PARTIAL_END_OF_CONTIG,blaKPC-2=COMPLETE,blaOXA=PARTIAL_END_OF_CONTIG,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,dfrA50=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,rmtG=COMPLETE,sul2=COMPLETE		5919419	114	171162	ILLUMINA	PDS000077953.2		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986029		PDT002714900.1	"ERS23979906","G20000912"	GCA_049571845.1	ERR14828624	Colombia		2020-05-20	urine	clinical		Homo sapiens	2025-04-14T16:22:36Z	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaSHV-11=COMPLETE,emrD=COMPLETE,fosA5=COMPLETE,oqxA=COMPLETE,oqxB5=COMPLETE		5606156	82	219630	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986030		PDT002714901.1	"ERS23979907","G20000923"	GCA_049574805.1	ERR14828625	Colombia		2020-07-20	urine	clinical		Homo sapiens	2025-04-14T16:22:36Z	emrD=COMPLETE,fosA=COMPLETE,gyrA_D87N=POINT,ompK35_E132K=POINT,oqxA10=COMPLETE,oqxB=COMPLETE		5212095	141	116692	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986031		PDT002714902.1	"ERS23979908","G20000926"	GCA_049576085.1	ERR14828626	Colombia		2020-07-24	urine	clinical		Homo sapiens	2025-04-14T16:22:36Z	aac(3)-IId=COMPLETE,aac(6')-Ib=COMPLETE,aac(6')-Ib=PARTIAL,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-3=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul2=COMPLETE,tet(D)=COMPLETE		5652483	107	203667	ILLUMINA	PDS000056116.16	51	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJEB80567	SAMEA117986032		PDT002714903.1	"ERS23979909","G20000928"	GCA_059258925.1	ERR14828627	Colombia		2020-08-28	Respiratory origin	clinical		Homo sapiens	2025-04-14T16:22:37Z	aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaSHV-1=COMPLETE,catA2=COMPLETE,dfrA12=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,mph(A)=COMPLETE,mrx(A)=COMPLETE,oqxA10=COMPLETE,oqxB5=COMPLETE,qnrS1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE		5761743	73	264474	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986033		PDT002714904.1	"ERS23979910","G20000932"	GCA_049575405.1	ERR14828628	Colombia		2020-08-21	blood culture	clinical		Homo sapiens	2025-04-14T16:22:37Z	acrR_M109I=POINT,blaSHV-1=COMPLETE,emrD=COMPLETE,fosA7=PARTIAL,fosA=COMPLETE,oqxA=COMPLETE,oqxB19=COMPLETE,oqxB=COMPLETE		5719099	157	145553	ILLUMINA	PDS000226285.1		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986034		PDT002714905.1	"ERS23979911","G20000935"	GCA_049571825.1	ERR14828629	Colombia		2020-09-09	Respiratory origin	clinical		Homo sapiens	2025-04-14T16:22:38Z	blaSHV-207=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE		5607408	42	331118	ILLUMINA			Klebsiella pneumoniae		iroB=COMPLETE,iroC=COMPLETE,iroD=COMPLETE,iroN=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iutA=PARTIAL,peg-344=COMPLETE,rmpA=COMPLETE,rmpC=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJEB80567	SAMEA117986035		PDT002714906.1	"ERS23979912","G20000939"	GCA_049574425.1	ERR14828630	Colombia		2020-09-01	blood culture	clinical		Homo sapiens	2025-04-14T16:22:38Z	aac(3)-IVa=COMPLETE,aac(6')-Ib=COMPLETE,aac(6')-Ib=PARTIAL,aadA1=COMPLETE,aadA2=COMPLETE,aph(4)-Ia=COMPLETE,blaKPC-3=COMPLETE,blaOXA-2=COMPLETE,blaSHV-11=COMPLETE,blaTEM=PARTIAL,blaTEM=PARTIAL_END_OF_CONTIG,cmlA1=COMPLETE,dfrA29=COMPLETE,emrD=COMPLETE,estX-3=COMPLETE,fosA=COMPLETE,gyrA_D87N=POINT,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,ompK35_E42RfsTer47=POINT,ompK36_D135DGD=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,sul3=COMPLETE		5775939	107	156026	ILLUMINA	PDS000171746.2		Klebsiella pneumoniae		clbB=COMPLETE,clbN=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJEB80567	SAMEA117986036		PDT002714907.1	"ERS23979913","G20000949"	GCA_049571805.1	ERR14828631	Colombia		2020-09-26	other	clinical		Homo sapiens	2025-04-14T16:22:38Z	aadA2=COMPLETE,blaSHV-27=COMPLETE,dfrA12=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,mph(A)=COMPLETE,mrx(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,sul1=COMPLETE,sul2=COMPLETE		5689704	62	227079	ILLUMINA			Klebsiella pneumoniae		iroB=COMPLETE,iroC=COMPLETE,iroD=COMPLETE,iroN=COMPLETE,peg-344=COMPLETE,rmpA=COMPLETE,rmpC=COMPLETE,rmpD=COMPLETE	
Klebsiella pneumoniae	PRJEB80567	SAMEA117986037		PDT002714908.1	"ERS23979914","G20000950"	GCA_059258885.1	ERR14828632	Colombia		2020-10-09	blood culture	clinical		Homo sapiens	2025-04-14T16:22:38Z	blaKPC-3=COMPLETE,blaOXA=MISTRANSLATION,blaSHV-28=COMPLETE,blaTEM-1=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mgrB_I38FfsTer34=POINT,oqxA=COMPLETE,oqxB19=COMPLETE,parC_S80I=POINT		5649233	55	258987	ILLUMINA	PDS000226303.1		Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJEB80567	SAMEA117986038		PDT002714909.1	"ERS23979915","G20000953"	GCA_049574405.1	ERR14828633	Colombia		2020-05-07	Respiratory origin	clinical		Homo sapiens	2025-04-14T16:22:39Z	aac(3)-IVa=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(4)-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,cmlA1=COMPLETE,dfrA14=COMPLETE,emrD=COMPLETE,estX-3=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,ompK35_G37Ter=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE		5673937	96	237237	ILLUMINA	PDS000077895.5		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986039		PDT002714910.1	"ERS23979916","G20000954"	GCA_049573205.1	ERR14828634	Colombia		2020-08-03	Respiratory origin	clinical		Homo sapiens	2025-04-14T16:22:39Z	aadA1=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,cmlA1=COMPLETE,dfrA14=COMPLETE,emrD=COMPLETE,estX-3=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,ompK35_G37Ter=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE		5661748	95	203667	ILLUMINA	PDS000077895.5		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986040		PDT002714911.1	"ERS23979917","G20000958"	GCA_049573765.1	ERR14828635	Colombia		2020-10-06	blood culture	clinical		Homo sapiens	2025-04-14T16:22:40Z	aadA1=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,cmlA1=COMPLETE,dfrA14=COMPLETE,emrD=COMPLETE,estX-3=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,ompK35_G37Ter=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE		5773145	97	191488	ILLUMINA	PDS000077895.5		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986041		PDT002714912.1	"ERS23979918","G20000959"	GCA_049573185.1	ERR14828636	Colombia		2020-10-16	blood culture	clinical		Homo sapiens	2025-04-14T16:22:40Z	blaSHV-26=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA10=COMPLETE,oqxB19=COMPLETE		5643327	105	165451	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986042		PDT002714913.1	"ERS23979919","G20000962"	GCA_049576485.1	ERR14828637	Colombia		2020-10-23	other	clinical		Homo sapiens	2025-04-14T16:22:40Z	blaSHV-11=COMPLETE,emrD=MISTRANSLATION,fosA=COMPLETE,oqxA=COMPLETE,oqxB19=COMPLETE		5621037	82	177595	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986043		PDT002714914.1	"ERS23979920","G20000963"	GCA_059258905.1	ERR14828638	Colombia		2020-10-23	Respiratory origin	clinical		Homo sapiens	2025-04-14T16:22:41Z	blaSHV-11=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB19=COMPLETE		5727738	80	128024	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986044		PDT002714915.1	"ERS23979921","G20000965"	GCA_059258865.1	ERR14828639	Colombia		2020-10-30	other	clinical		Homo sapiens	2025-04-14T16:22:41Z	blaSHV-187=COMPLETE,emrD=COMPLETE,fosA10=COMPLETE		5497552	60	293605	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986045		PDT002714916.1	"ERS23979922","G20000966"	GCA_049576465.1	ERR14828640	Colombia		2020-10-23	Respiratory origin	clinical		Homo sapiens	2025-04-14T16:22:41Z	blaKPC-3=COMPLETE,blaOXA=MISTRANSLATION,blaSHV-28=COMPLETE,blaTEM-1=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB19=COMPLETE		5334865	62	221293	ILLUMINA	PDS000171747.2		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986046		PDT002714917.1	"ERS23979923","G20000967"	GCA_049574385.1	ERR14828641	Colombia		2020-10-26	blood culture	clinical		Homo sapiens	2025-04-14T16:22:42Z	blaSHV-207=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE		5589760	32	372293	ILLUMINA			Klebsiella pneumoniae		iroB=COMPLETE,iroC=COMPLETE,iroD=COMPLETE,iroN=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iutA=COMPLETE,mchF=COMPLETE,peg-344=COMPLETE,rmpA=COMPLETE,rmpC=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJEB80567	SAMEA117986047		PDT002714918.1	"ERS23979924","G20000968"	GCA_049574365.1	ERR14828642	Colombia		2020-10-25	Respiratory origin	clinical		Homo sapiens	2025-04-14T16:22:42Z	blaSHV-1=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB32=COMPLETE		5770169	78	297360	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986048		PDT002714919.1	"ERS23979925","G20000969"	GCA_049574345.1	ERR14828643	Colombia		2020-10-10	blood culture	clinical		Homo sapiens	2025-04-14T16:22:43Z	blaSHV-207=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE		5713347	37	372285	ILLUMINA			Klebsiella pneumoniae		iroB=COMPLETE,iroC=COMPLETE,iroD=COMPLETE,iroN=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iutA=COMPLETE,mchF=COMPLETE,peg-344=COMPLETE,rmpA=COMPLETE,rmpC=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJEB80567	SAMEA117986049		PDT002714920.1	"ERS23979926","G20000970"	GCA_049571785.1	ERR14828644	Colombia		2020-10-24	Respiratory origin	clinical		Homo sapiens	2025-04-14T16:22:43Z	acrR_M109I=POINT,blaSHV-1=COMPLETE,emrD=COMPLETE,fosA7=PARTIAL,fosA=COMPLETE,oqxA=COMPLETE,oqxB19=COMPLETE		5703450	133	142775	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986050		PDT002714921.1	"ERS23979927","G20000971"	GCA_049573745.1	ERR14828645	Colombia		2020-09-27	Respiratory origin	clinical		Homo sapiens	2025-04-14T16:22:43Z	blaSHV-1=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE		5566150	68	263279	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986051		PDT002714922.1	"ERS23979928","G20000980"	GCA_049573165.1	ERR14828646	Colombia		2020-10-15	urine	clinical		Homo sapiens	2025-04-14T16:22:44Z	blaSHV-12=COMPLETE,blaSHV-1=COMPLETE,blaSHV_C-112A=POINT,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB19=COMPLETE,qnrB19=COMPLETE		5821361	100	135557	ILLUMINA	PDS000076200.5		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986052		PDT002714923.1	"ERS23979929","G20000983"	GCA_059258845.1	ERR14828647	Colombia		2020-10-17	urine	clinical		Homo sapiens	2025-04-14T16:22:44Z	blaSHV-11=COMPLETE,emrD=COMPLETE,fosA5=COMPLETE,oqxA=COMPLETE,oqxB5=COMPLETE		5665120	102	293389	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986053		PDT002714924.1	"ERS23979930","G20000984"	GCA_059258825.1	ERR14828648	Colombia		2020-10-20	urine	clinical		Homo sapiens	2025-04-14T16:22:45Z	blaSHV-27=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB14=COMPLETE		5419400	77	183744	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986054		PDT002714925.1	"ERS23979931","G20000985"	GCA_059258805.1	ERR14828649	Colombia		2020-05-18	blood culture	clinical		Homo sapiens	2025-04-14T16:22:45Z	blaSHV-61=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE		5821102	41	272480	ILLUMINA			Klebsiella pneumoniae		iroB=COMPLETE,iroC=COMPLETE	
Klebsiella pneumoniae	PRJEB80567	SAMEA117986055		PDT002714926.1	"ERS23979932","G20000987"	GCA_049574325.1	ERR14828650	Colombia		2020-06-15	urine	clinical		Homo sapiens	2025-04-14T16:22:45Z	aac(6')-Ian=COMPLETE,aadA1=COMPLETE,aph(3')-Ia=COMPLETE,blaNDM-1=COMPLETE,blaSHV-1=COMPLETE,blaSHV_C-112A=POINT,ble=COMPLETE,catA1=COMPLETE,dfrA1=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_D87A=POINT,gyrA_S83F=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,sul2=COMPLETE		5841585	84	270337	ILLUMINA	PDS000076193.14		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986056		PDT002714927.1	"ERS23979933","G20000988"	GCA_049571765.1	ERR14828651	Colombia		2020-08-11	other	clinical		Homo sapiens	2025-04-14T16:22:46Z	blaSHV-27=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE		5660796	34	325882	ILLUMINA			Klebsiella pneumoniae		iroB=COMPLETE,iroC=COMPLETE,iroD=COMPLETE,iroN=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iutA=COMPLETE,rmpA=COMPLETE,rmpC=COMPLETE,rmpD=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJEB80567	SAMEA117986057		PDT002714928.1	"ERS23979934","G20000989"	GCA_049576445.1	ERR14828652	Colombia		2020-09-21	Respiratory origin	clinical		Homo sapiens	2025-04-14T16:22:46Z	aac(6')-Ib=COMPLETE,blaKPC-3=COMPLETE,blaSHV-11=COMPLETE,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT		5812982	82	316770	ILLUMINA	PDS000056116.16	46	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJEB80567	SAMEA117986058		PDT002714929.1	"ERS23979935","G20000990"	GCA_059258785.1	ERR14828653	Colombia		2020-09-24	urine	clinical		Homo sapiens	2025-04-14T16:22:47Z	aac(6')-Ib-cr5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaOXA-1=COMPLETE,blaSHV-28=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,ompK36_W125Ter=POINT,oqxA=COMPLETE,oqxB19=COMPLETE,parC_S80I=POINT,qnrB19=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE		5726888	69	285587	ILLUMINA	PDS000259324.8	32	Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986059		PDT002714930.1	"ERS23979936","G20000991"	GCA_049573145.1	ERR14828654	Colombia		2020-09-30	other	clinical		Homo sapiens	2025-04-14T16:22:47Z	aac(6')-Ib=COMPLETE,blaKPC-3=COMPLETE,blaSHV-11=COMPLETE,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT		5842939	77	316770	ILLUMINA	PDS000056116.16	48	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJEB80567	SAMEA117986060		PDT002714931.1	"ERS23979937","G20000992"	GCA_049573125.1	ERR14828655	Colombia		2020-10-12	other	clinical		Homo sapiens	2025-04-14T16:22:48Z	aac(6')-Ib-cr5=COMPLETE,aadA16=COMPLETE,arr-3=COMPLETE,blaKPC-2=COMPLETE,blaSHV-42=COMPLETE,blaTEM=PARTIAL,dfrA27=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,ramR_A19V=POINT,sul1=COMPLETE		5712547	94	164365	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986061		PDT002714932.1	"ERS23979938","G20000993"	GCA_049573105.1	ERR14828656	Colombia		2020-06-20	urine	clinical		Homo sapiens	2025-04-14T16:22:48Z	aac(6')-Ib-cr5=COMPLETE,aadA16=COMPLETE,arr-3=COMPLETE,blaCTX-M-12=COMPLETE,blaKPC-2=COMPLETE,blaOXA=PARTIAL,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL,dfrA27=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,qnrB6=COMPLETE,rmtG=COMPLETE,sul1=COMPLETE,sul2=COMPLETE		5730778	82	231685	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986062		PDT002714933.1	"ERS23979939","G20001007"	GCA_049576845.1	ERR14828657	Colombia		2020-10-15	other	clinical		Homo sapiens	2025-04-14T16:22:48Z	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaDHA-1=COMPLETE,blaSHV-28=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,qnrB4=COMPLETE,sul1=COMPLETE		5692654	51	279072	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986063		PDT002714934.1	"ERS23979940","G20001019"	GCA_049573725.1	ERR14828658	Colombia		2020-11-10	blood culture	clinical		Homo sapiens	2025-04-14T16:22:49Z	blaSHV-65=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB14=COMPLETE		5531452	26	468776	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986064		PDT002714935.1	"ERS23979941","G20001020"	GCA_049573085.1	ERR14828659	Colombia		2020-11-11	Respiratory origin	clinical		Homo sapiens	2025-04-14T16:22:49Z	blaSHV-11=COMPLETE,blaSHV_C-112A=POINT,catA1=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB25=COMPLETE,ramR_E113Ter=POINT		5568333	104	221618	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986065		PDT002714936.1	"ERS23979942","G20001023"	GCA_059258765.1	ERR14828660	Colombia		2020-11-11	Respiratory origin	clinical		Homo sapiens	2025-04-14T16:22:50Z	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aac(6')-Ib-cr=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,arr-3=COMPLETE,blaCTX-M-15=COMPLETE,blaCTX-M-1=COMPLETE,blaKPC-3=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,catB3=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mgrB_Q30Ter=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,ompK36_Q172Ter=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB19=COMPLETE,sul1=COMPLETE,sul2=COMPLETE		5818037	128	156826	ILLUMINA	PDS000076198.13		Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJEB80567	SAMEA117986066		PDT002714937.1	"ERS23979943","G20001027"	GCA_049573045.1	ERR14828661	Colombia		2020-11-27	blood culture	clinical		Homo sapiens	2025-04-14T16:22:50Z	blaKPC-3=COMPLETE,blaOXA=MISTRANSLATION,blaSHV-28=COMPLETE,blaTEM-1=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mgrB_I38FfsTer34=POINT,oqxA=COMPLETE,oqxB19=COMPLETE,parC_S80I=POINT		5799143	59	226298	ILLUMINA	PDS000226303.1		Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJEB80567	SAMEA117986067		PDT002714938.1	"ERS23979944","G20001029"	GCA_049574305.1	ERR14828662	Colombia		2020-11-21	Respiratory origin	clinical		Homo sapiens	2025-04-14T16:22:50Z	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaOXA-1=COMPLETE,blaSHV-28=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB19=COMPLETE,parC_S80I=POINT,qnrB1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE		5590667	77	240527	ILLUMINA			Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJEB80567	SAMEA117986068		PDT002714939.1	"ERS23979945","G20001030"	GCA_049575385.1	ERR14828663	Colombia		2020-11-22	Respiratory origin	clinical		Homo sapiens	2025-04-14T16:22:51Z	blaSHV-11=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,ompK35_E132K=POINT,oqxA=COMPLETE,oqxB=COMPLETE		5654369	100	111896	ILLUMINA			Klebsiella pneumoniae			
