accesion	pais	st_pasteur	anio	carbapenemasa	genes_carb	st_oxford	kl	ocl	rep_apt
GCA_034296945.1	Paraguay	79	2021	si	blaOXA-23	-	KL9	OCL10	r3-T26,r3-T3
GCA_034296955.1	Paraguay	2	2021	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_034296995.1	Paraguay	25	2021	si	blaOXA-23	691	KL23	OCL5	r3-T14
GCA_034297015.1	Paraguay	2	2022	si	blaOXA-23	-	KL3	OCL1	ninguno
GCA_034297035.1	Paraguay	79	2021	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_034297055.1	Paraguay	2	2022	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_034297075.1	Paraguay	15	2021	si	blaOXA-23	236	KL9	OCL7	r3-T14
GCA_034297095.1	Paraguay	79	2021	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_034297115.1	Paraguay	2	2021	si	blaOXA-23	-	KL3	OCL1	ninguno
GCA_034297135.1	Paraguay	2	2021	si	blaOXA-23	-	KL3	OCL1	ninguno
GCA_034297155.1	Paraguay	79	2021	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_034297175.1	Paraguay	79	2021	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_034297195.1	Paraguay	79	2021	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_034297215.1	Paraguay	25	2021	si	blaOXA-23	1489	KL77	OCL5	r3-T6
GCA_034297235.1	Paraguay	79	2021	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_034297265.1	Paraguay	79	2021	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_034297275.1	Paraguay	1	2022	si	blaOXA-23	-	KL1	OCL1	r3-T14
GCA_036533995.1	Brasil	79	2019	si	blaOXA-23	-	KL9	OCL10	ninguno
GCA_037545705.1	Peru	2	2022	si	blaOXA-72	-	KL9	OCL1	r3-T18,r3-T28
GCA_037545745.1	Peru	2	2022	si	blaOXA-72	-	KL9	OCL1	r3-T18,r3-T28
GCA_037545755.1	Peru	2	2022	si	blaOXA-72	-	KL9	OCL1	r3-T18,r3-T28
GCA_037545805.1	Peru	2	2022	no	ninguna	-	KL2	OCL1	r3-T18,r3-T28
GCA_039677705.1	Brasil	-	2021	si	blaNDM-1,blaOXA-58	-	KL6	OCL2	r3-T15,r3-T61
GCA_039677725.1	Brasil	-	2021	si	blaNDM-1,blaOXA-58	-	KL6	OCL2	r3-T15,r3-T61
GCA_039677745.1	Brasil	464	2021	si	blaNDM,blaOXA-58	878	KL210	OCL6	r3-T13,r3-T3
GCA_039677765.1	Brasil	-	2021	si	blaNDM-1,blaOXA-58	-	KL6	OCL2	r3-T15,r3-T61
GCA_040151215.1	Brasil	150	2011	si	blaIMP-1,blaOXA-58	718	KL81	OCL6	r3-T3,r3-T55,r3-T6
GCA_040223795.1	Brasil	1	2019	si	blaOXA-23	-	KL17	OCL1	r3-T1
GCA_041501475.1	Brasil	329	2015	si	blaNDM-1	-	KL9	OCL6	r3-T5,r3-T7
GCA_041927285.1	Argentina	79	2021	si	blaNDM-1,blaOXA-23	-	KL9	OCL10	ninguno
GCA_042142835.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL5	ninguno
GCA_042153585.1	Argentina	25	2018	si	blaOXA-23	691	KL23	OCL5	r3-T14
GCA_042862905.1	Brasil	1	2019	si	blaOXA-23	-	KL17	OCL1	ninguno
GCA_042862925.1	Brasil	79	2019	si	blaOXA-23	-	KL9	OCL10	ninguno
GCA_042938265.1	Brasil	730	2020	si	blaOXA-23	-	KL22	OCL10	r3-T1,r3-T13
GCA_042939275.1	Brasil	79	2020	si	blaOXA-23	-	KL9	OCL10	r3-T1,rP-T1
GCA_045064695.1	Argentina	1	2014	no	ninguna	-	KL1	OCL1	r3-T13,r3-T14
GCA_045066095.1	Argentina	15	NA	no	ninguna	104	KL77	OCL7	r3-T3,r3-T36,r3-T68
GCA_045066125.1	Argentina	15	NA	no	ninguna	225	KL22	OCL7	r3-T14,r3-T3
GCA_045066145.1	Argentina	79	NA	no	ninguna	-	KL77	OCL10	r3-T36
GCA_045066255.1	Argentina	15	NA	si	blaOXA-58	692	KL81	OCL7	r3-T14,r3-T32,r3-T36,r3-T68
GCA_045066275.1	Argentina	109	NA	no	ninguna	-	KL49	OCL3	r3-T5,r3-T6
GCA_045066335.1	Argentina	79	NA	no	ninguna	-	KL77	OCL10	r3-T14
GCA_045066365.1	Argentina	15	NA	no	ninguna	225	KL22	OCL7	r3-T14,r3-T3,r3-T36,r3-T68
GCA_045066455.1	Argentina	15	NA	no	ninguna	104	KL77	OCL7	r3-T13,r3-T14
GCA_045066515.1	Argentina	109	NA	no	ninguna	542	KL49	OCL3	r3-T5
GCA_045066655.1	Argentina	109	NA	no	ninguna	542	KL49	OCL3	r3-T28,r3-T5,r3-T6
GCA_048067285.1	Paraguay	2	2024	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_048067295.1	Paraguay	2	2024	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_048067305.1	Paraguay	2	2024	si	blaOXA-23	-	KL81	OCL1	r3-T1,r3-T15
GCA_048069565.1	Paraguay	2	2024	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_048480215.1	Paraguay	2	2024	si	blaOXA-23	-	KL81	OCL1	r3-T1,r3-T15
GCA_048750995.1	Argentina	172	2010	no	ninguna	-	KL51	OCL1	ninguno
GCA_049355475.1	Chile	318	2022	no	ninguna	225	KL22	OCL7	r3-T14,r3-T34
GCA_049356015.1	Chile	1	2023	no	ninguna	-	KL1	OCL1	r3-T14
GCA_049388885.1	Chile	1	2023	no	ninguna	-	KL1	OCL1	r3-T14
GCA_049706335.1	Argentina	25	2010	si	blaOXA-23	691	KL23	OCL5	ninguno
GCA_050030175.1	Paraguay	2	2024	si	blaOXA-23	-	KL81	OCL1	r3-T1,r3-T15
GCA_050030185.1	Paraguay	79	2024	si	blaOXA-23	-	KL9	OCL10	r3-T14
GCA_050030675.1	Paraguay	2	2024	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_050269755.1	Venezuela	79	2015	si	blaOXA-23	205	KL22	OCL5	r3-T11,r3-T26,rP-T1
GCA_050896615.1	Chile	162	2020	si	blaOXA-23	235	KL19	OCL1	r3-T13,rP-T1
GCA_050896635.1	Chile	15	2021	no	ninguna	225	KL22	OCL7	r3-T14
GCA_050896655.1	Chile	318	2020	no	ninguna	225	KL22	OCL7	r3-T14
GCA_050896695.1	Chile	15	2018	no	ninguna	225	KL22	OCL7	r3-T14
GCA_050896705.1	Chile	15	2020	no	ninguna	225	KL22	OCL7	r3-T14
GCA_050896775.1	Chile	1	2020	si	blaOXA-58	-	KL1	OCL1	r3-T14,r3-T18
GCA_050896815.1	Chile	162	2021	si	blaOXA-23	235	KL19	OCL1	r3-T13,r3-T80,rP-T1
GCA_050896855.1	Chile	162	2021	si	blaOXA-23	235	KL19	OCL1	r3-T13,rP-T1
GCA_050896895.1	Chile	318	2020	si	blaOXA-58	225	KL22	OCL7	r3-T14,r3-T34
GCA_050896935.1	Chile	318	2019	no	ninguna	225	KL22	OCL7	ninguno
GCA_050896975.1	Chile	15	2015	no	ninguna	225	KL22	OCL7	r3-T14
GCA_050897015.1	Chile	318	2019	si	blaOXA-58	225	KL22	OCL3	r3-T14
GCA_050897035.1	Chile	318	2019	si	blaOXA-58	225	KL22	OCL7	r3-T14,r3-T34
GCA_050897055.1	Chile	15	2020	no	ninguna	225	KL22	OCL7	r3-T13,r3-T14
GCA_050897075.1	Chile	15	2020	no	ninguna	225	KL22	OCL7	r3-T14
GCA_050897095.1	Chile	1	2021	si	blaOXA-58	-	KL1	OCL1	r3-T14,r3-T159,r3-T18
GCA_050897115.1	Chile	318	2021	no	ninguna	225	KL22	OCL3	r3-T14
GCA_050897135.1	Chile	1	2021	no	ninguna	-	KL1	OCL1	r3-T14
GCA_050897155.1	Chile	318	2020	no	ninguna	225	KL22	OCL3	r3-T14
GCA_050897175.1	Chile	1	2022	no	ninguna	-	KL1	OCL1	r3-T14
GCA_050897195.1	Chile	162	2024	no	ninguna	235	KL19	OCL1	r3-T13,rP-T1
GCA_050897215.1	Chile	162	2020	si	blaOXA-23	235	KL19	OCL1	r3-T13,rP-T1
GCA_050897235.1	Chile	193	2020	si	blaNDM-1	699	KL48	OCL6	r3-T2
GCA_050897255.1	Chile	15	2020	no	ninguna	225	KL22	OCL7	r3-T14
GCA_050897275.1	Chile	162	2024	si	blaOXA-23	235	KL19	OCL1	r3-T13,rP-T1
GCA_050897295.1	Chile	318	2019	no	ninguna	225	KL22	OCL3	r3-T14
GCA_050897315.1	Chile	15	2007	no	ninguna	225	KL22	OCL7	r3-T13,r3-T14
GCA_050897325.1	Chile	15	2018	no	ninguna	225	KL22	OCL7	r3-T13,r3-T14
GCA_050897355.1	Chile	15	2016	no	ninguna	236	KL9	OCL7	r3-T13,r3-T14
GCA_050897395.1	Chile	318	2017	si	blaOXA-58	225	KL22	OCL3	r3-T14
GCA_050897455.1	Chile	1	2016	no	ninguna	-	KL1	OCL1	r3-T14
GCA_050897475.1	Chile	15	2015	si	blaOXA-23	225	KL22	OCL7	r3-T13,r3-T14
GCA_050897555.1	Chile	15	2015	si	blaOXA-23	225	KL22	OCL7	r3-T13,r3-T14
GCA_050897575.1	Chile	-	2015	no	ninguna	225	KL22	OCL7	r3-T13,r3-T14
GCA_050897595.1	Chile	318	2011	si	blaOXA-58	225	KL22	OCL3	r3-T14
GCA_050897675.1	Chile	162	2009	si	blaOXA-23	235	KL19	OCL1	r3-T13,rP-T1
GCA_050897695.1	Chile	109	1997	no	ninguna	-	KL49	OCL3	r3-T28,r3-T5,r3-T6
GCA_050897715.1	Chile	1	2009	no	ninguna	-	KL1	OCL1	r3-T14
GCA_050897775.1	Chile	109	1993	no	ninguna	-	KL49	OCL3	r3-T28,r3-T5,r3-T6
GCA_050897795.1	Chile	109	1990	no	ninguna	-	KL49	OCL3	r3-T28,r3-T5,r3-T6
GCA_051169065.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169085.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169105.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169125.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169155.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169175.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169195.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169215.1	Brasil	-	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169235.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169255.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169275.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169295.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169315.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169335.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169355.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169375.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169395.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169415.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169435.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169445.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169475.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169495.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169515.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169535.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169555.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169575.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1,rP-T1
GCA_051169595.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169615.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169635.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169655.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169675.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169695.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169715.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169745.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169765.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169785.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169805.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169825.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1,rP-T1
GCA_051169845.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169865.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169885.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169905.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169925.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169945.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169965.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051169985.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170005.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1,rP-T1
GCA_051170025.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170045.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1,rP-T1
GCA_051170065.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170085.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170105.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170125.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170145.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170165.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170185.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170205.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170225.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170245.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170265.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1,rP-T1
GCA_051170285.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170305.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170325.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1,r3-T15
GCA_051170345.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170365.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170385.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170405.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1,r3-T15
GCA_051170425.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170445.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170465.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1,r3-T15
GCA_051170485.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1,r3-T15
GCA_051170505.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170525.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170545.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1,r3-T15
GCA_051170565.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1,r3-T15
GCA_051170585.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1,r3-T15
GCA_051170605.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170625.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170645.1	Brasil	2	2020	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170665.1	Brasil	2	2020	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170685.1	Brasil	2	2020	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170705.1	Brasil	2	2020	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170725.1	Brasil	2	2020	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170745.1	Brasil	2	2020	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170765.1	Brasil	2	2020	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170785.1	Brasil	2	2020	si	blaOXA-23	-	KL7	OCL1	r3-T1,rP-T1
GCA_051170805.1	Brasil	2	2020	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170825.1	Brasil	2	2020	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051170845.1	Brasil	2	2020	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_051776275.1	Bolivia	267	2016	no	ninguna	942	KL9	OCL2	rP-T1
GCA_051842185.1	Brasil	79	2022	si	blaOXA-23	227	KL3	OCL10	r3-T1
GCA_051842205.1	Brasil	25	2023	si	blaOXA-23	690	KL22	OCL10	r3-T1,rP-T1
GCA_051842225.1	Brasil	2	2021	si	blaOXA-23	-	KL9	OCL1	r3-T1,r3-T15,rP-T1
GCA_051842245.1	Brasil	2	2020	si	blaOXA-23	-	KL7	OCL1	r3-T1,r3-T15
GCA_051842265.1	Brasil	2	2022	si	blaNDM-1,blaOXA-23	-	KL9	OCL1	r3-T1,r3-T15,rP-T1
GCA_051842285.1	Brasil	2	2022	si	blaNDM-1,blaOXA-23	-	KL9	OCL1	r3-T1,r3-T15,rP-T1
GCA_051842305.1	Brasil	2	2023	si	blaNDM-1,blaOXA-23	-	KL9	OCL1	r3-T1,r3-T15,rP-T1
GCA_051941745.1	Peru	2724	2021	si	blaOXA-72	-	KL9	OCL1	r3-T18,r3-T28
GCA_051942065.1	Peru	2	2021	si	blaOXA-72	-	KL9	OCL1	r3-T18,r3-T28,r3-T3
GCA_052115825.1	Brasil	79	2021	si	blaOXA-23	-	KL167	OCL10	r3-T1
GCA_052371335.1	Argentina	25	2023	si	blaOXA-23	691	KL2	OCL5	r3-T14
GCA_052371415.1	Argentina	25	2024	si	blaOXA-23	490	KL9	OCL5	r3-T14
GCA_052371495.1	Argentina	2	2023	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_052371515.1	Argentina	2	2023	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_052371655.1	Argentina	2	2024	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_052371695.1	Argentina	2	2023	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_052371715.1	Argentina	2	2023	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_052371735.1	Argentina	2	2023	si	blaOXA-23	-	KL3	OCL1	r3-T1
GCA_052492475.1	Brasil	2	2022	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	r3-T1
GCA_052492535.1	Brasil	2	2023	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	r3-T1
GCA_052492555.1	Brasil	2	2022	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	r3-T1
GCA_052492595.1	Brasil	2	2022	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	r3-T1
GCA_052492615.1	Brasil	2	2022	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	r3-T1
GCA_052492635.1	Brasil	2	2023	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	r3-T1
GCA_052492675.1	Brasil	2	2023	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	ninguno
GCA_052492695.1	Brasil	2	2022	si	blaOXA-23	-	KL7	OCL1	ninguno
GCA_052492715.1	Brasil	2	2022	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	r3-T1
GCA_052492735.1	Brasil	2	2022	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	r3-T1
GCA_052492755.1	Brasil	2	2022	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	r3-T1
GCA_052492775.1	Brasil	2	2022	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	r3-T1
GCA_052492795.1	Brasil	2	2023	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	r3-T1
GCA_052492815.1	Brasil	2	2022	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	ninguno
GCA_052492835.1	Brasil	2	2022	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	r3-T1
GCA_052492855.1	Brasil	2	2023	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	r3-T1
GCA_052545275.1	Brasil	2	2023	si	blaNDM-1,blaOXA-23	-	KL7	OCL1	r3-T1
GCA_053309335.1	Brasil	15	2020	si	blaOXA-23	236	KL81	OCL7	r3-T13,r3-T14,r3-T3
GCA_053320195.1	Peru	2	2024	si	blaOXA-72	-	KL9	OCL1	r3-T18,r3-T28,r3-T3
GCA_053320235.1	Peru	2	2024	si	blaOXA-72	-	KL2	OCL1	r3-T3
GCA_053320255.1	Peru	79	2024	si	blaOXA-23	-	KL13	OCL10	r3-T1,r3-T15,r3-T18
GCA_053320275.1	Peru	2	2024	si	blaOXA-72	-	KL2	OCL1	r3-T3
GCA_053320295.1	Peru	2	2024	si	blaOXA-72	-	KL9	OCL1	r3-T18,r3-T28,r3-T3
GCA_053320315.1	Peru	2	2024	si	blaOXA-72	-	KL2	OCL1	r3-T18
GCA_053320335.1	Peru	2	2023	si	blaOXA-72	-	KL2	OCL1	r3-T18,r3-T28,r3-T3
GCA_053320355.1	Peru	2	2023	si	blaOXA-72	-	KL9	OCL1	r3-T18,r3-T28,r3-T3
GCA_053320375.1	Peru	2	2023	si	blaOXA-72	-	KL9	OCL1	r3-T18,r3-T28,r3-T3
GCA_053320395.1	Peru	2	2023	no	ninguna	-	KL9	OCL1	r3-T18,r3-T28,r3-T3
GCA_053320415.1	Peru	2	2023	si	blaOXA-72	-	KL2	OCL1	r3-T18,r3-T3
GCA_053320435.1	Peru	1079	2024	si	blaOXA-23	1483	KL107	OCL3	r3-T14
GCA_053320455.1	Peru	2	2024	si	blaOXA-72	-	KL9	OCL1	r3-T28,r3-T3
GCA_053373735.1	Peru	2	2024	no	ninguna	-	KL2	OCL1	r3-T18,r3-T3
GCA_053373755.1	Peru	2	2024	no	ninguna	-	KL2	OCL1	r3-T18,r3-T3
GCA_053373775.1	Peru	2	2024	no	ninguna	-	KL9	OCL1	r3-T18,r3-T28,r3-T3
GCA_053373795.1	Peru	79	2024	si	blaOXA-23	-	KL13	OCL10	r3-T1,r3-T15,r3-T18
GCA_053373815.1	Peru	1079	2024	si	blaOXA-23	1483	KL107	OCL3	r3-T14
GCA_053373835.1	Peru	1079	2024	si	blaOXA-23	1483	KL107	OCL3	r3-T14
GCA_053819165.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL5	ninguno
GCA_053819305.1	Argentina	991	NA	si	blaOXA-23	-	KL81	OCL5	ninguno
GCA_053819325.1	Argentina	25	NA	si	blaOXA-23	490	KL9	OCL5	ninguno
GCA_053819345.1	Bolivia	25	2016	si	blaOXA-23	1528	KL49	OCL5	rP-T1
GCA_054458955.1	Chile	15	2021	no	ninguna	225	KL22	OCL7	r3-T14
GCA_054458975.1	Chile	15	2021	no	ninguna	225	KL22	OCL7	r3-T14
GCA_054458995.1	Chile	15	2022	no	ninguna	225	KL22	OCL7	r3-T14
GCA_055403185.1	Brasil	15	2022	si	blaOXA-23	236	KL9	OCL7	r3-T14
GCA_055403225.1	Brasil	15	2022	si	blaOXA-23	236	KL9	OCL7	r3-T14
GCA_055403245.1	Brasil	986	2021	si	blaOXA-23	-	KL18	OCL1	r3-T1
GCA_055403305.1	Brasil	2	2023	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_055403365.1	Brasil	25	2022	no	ninguna	229	KL14	OCL6	r3-T67
GCA_055403405.1	Brasil	2	2022	si	blaOXA-23	-	KL56	OCL1	r3-T1
GCA_055403465.1	Brasil	15	2022	si	blaOXA-23	236	KL9	OCL7	r3-T14
GCA_055403485.1	Brasil	15	2022	si	blaOXA-23	236	KL9	OCL7	r3-T14
GCA_055403505.1	Brasil	15	2022	si	blaOXA-23	236	KL9	OCL7	r3-T14
GCA_055403515.1	Brasil	15	2022	si	blaOXA-23	236	KL9	OCL7	r3-T14
GCA_055403605.1	Brasil	79	2021	si	blaOXA-23	-	KL33	OCL10	r1-T24,r3-T1,rP-T1
GCA_055403625.1	Brasil	15	2022	si	blaOXA-23	236	KL9	OCL7	r3-T14
GCA_055403665.1	Brasil	15	2022	no	ninguna	236	KL9	OCL7	r3-T14
GCA_055403715.1	Brasil	79	2023	si	blaOXA-23	-	KL210	OCL10	r3-T14
GCA_055404845.1	Brasil	79	2021	si	blaOXA-23	-	KL9	OCL10	r3-T1,rP-T1
GCA_055405025.1	Brasil	-	2019	no	ninguna	-	KL48	OCL5	r1-T1,r1-T2,r3-T27,r3-T62
GCA_055405425.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_055405505.1	Brasil	2	2021	si	blaOXA-23	-	KL56	OCL1	r3-T1
GCA_055405585.1	Brasil	15	2021	si	blaOXA-23	236	KL81	OCL7	r3-T14
GCA_055405785.1	Brasil	1448	2022	si	blaOXA-23	229	KL14	OCL17	r3-T1,r3-T67
GCA_055405925.1	Brasil	15	2019	si	blaOXA-23	236	KL81	OCL7	r3-T14
GCA_055521135.1	Brasil	162	2021	si	blaOXA-23	235	KL19	OCL1	r3-T13,r3-T15,r3-T3
GCA_055521155.1	Brasil	15	2021	si	blaOXA-23	1619	KL167	OCL7	r3-T13,r3-T14,r3-T3
GCA_055521185.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_055521205.1	Brasil	2	2021	si	blaOXA-23	-	KL7	OCL1	r3-T1
GCA_055521235.1	Brasil	162	2021	si	blaOXA-23	235	KL19	OCL1	r3-T13,r3-T15,r3-T3
GCA_055521255.1	Brasil	-	2021	si	blaOXA-23	-	KL9	OCL7	rP-T1
